_ws.col.No.,_ws.col.Time,timestamp,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.ack,tcp.seq,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.options.mptcp.rawdataseqno,tcp.window_size,tcp.len,tcp.hdr_len,tcp.analysis.lost_segment,tcp.analysis.ack_rtt,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.bytes_in_flight
95,2017-12-22 15:21:46.660387857,1513927306.6603878,192.168.82.72,222.29.98.225,TCP,59027,40002,341393890,3156777493,0,1,0,0,,162816,0,32,,0.000016066,,,,
96,2017-12-22 15:21:46.672348892,1513927306.672349,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341393890,0,1,0,0,,29056,1358,32,,,,,,1358
97,2017-12-22 15:21:46.672385227,1513927306.6723852,192.168.82.72,222.29.98.225,TCP,59027,40002,341395248,3156777493,0,1,0,0,,165888,0,32,,0.000036335,,,,
98,2017-12-22 15:21:46.673034916,1513927306.673035,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341395248,0,1,0,0,,29056,1358,32,,,,,,1358
99,2017-12-22 15:21:46.673066372,1513927306.6730664,192.168.82.72,222.29.98.225,TCP,59027,40002,341396606,3156777493,0,1,0,0,,168960,0,32,,0.000031456,,,,
100,2017-12-22 15:21:46.684320691,1513927306.6843207,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341396606,0,1,0,0,,29056,1358,32,,,,,,1358
101,2017-12-22 15:21:46.684357569,1513927306.6843576,192.168.82.72,222.29.98.225,TCP,59027,40002,341397964,3156777493,0,1,0,0,,172032,0,32,,0.000036878,,,,
102,2017-12-22 15:21:46.684367366,1513927306.6843674,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341397964,0,1,0,0,,29056,1358,32,,,,,,1358
103,2017-12-22 15:21:46.684384461,1513927306.6843843,192.168.82.72,222.29.98.225,TCP,59027,40002,341399322,3156777493,0,1,0,0,,174080,0,32,,0.000017095,,,,
104,2017-12-22 15:21:46.697200176,1513927306.6972,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341399322,0,1,0,0,,29056,1358,32,,,,,,1358
105,2017-12-22 15:21:46.697225314,1513927306.6972253,192.168.82.72,222.29.98.225,TCP,59027,40002,341400680,3156777493,0,1,0,0,,177152,0,32,,0.000025138,,,,
106,2017-12-22 15:21:46.699071775,1513927306.699072,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341400680,0,1,0,0,,29056,1358,32,,,,,,1358
107,2017-12-22 15:21:46.699080872,1513927306.699081,192.168.82.72,222.29.98.225,TCP,59027,40002,341402038,3156777493,0,1,0,0,,180224,0,32,,0.000009097,,,,
108,2017-12-22 15:21:46.708173324,1513927306.7081733,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341402038,0,1,0,0,,29056,1358,32,,,,,,1358
109,2017-12-22 15:21:46.708196175,1513927306.7081962,192.168.82.72,222.29.98.225,TCP,59027,40002,341403396,3156777493,0,1,0,0,,183296,0,32,,0.000022851,,,,
110,2017-12-22 15:21:46.709148025,1513927306.709148,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341403396,0,1,0,0,,29056,1358,32,,,,,,1358
111,2017-12-22 15:21:46.709162751,1513927306.7091627,192.168.82.72,222.29.98.225,TCP,59027,40002,341404754,3156777493,0,1,0,0,,185344,0,32,,0.000014726,,,,
112,2017-12-22 15:21:46.742569678,1513927306.7425697,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341404754,0,1,0,0,,29056,1358,32,,,,,,1358
113,2017-12-22 15:21:46.742580146,1513927306.7425802,192.168.82.72,222.29.98.225,TCP,59027,40002,341406112,3156777493,0,1,0,0,,185344,0,32,,0.000010468,,,,
114,2017-12-22 15:21:46.742589765,1513927306.7425897,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341406112,0,1,0,0,,29056,1358,32,,,,,,1358
115,2017-12-22 15:21:46.742606549,1513927306.7426066,192.168.82.72,222.29.98.225,TCP,59027,40002,341407470,3156777493,0,1,0,0,,185344,0,32,,0.000016784,,,,
116,2017-12-22 15:21:46.742716575,1513927306.7427166,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341407470,0,1,0,0,,29056,1358,32,,,,,,1358
117,2017-12-22 15:21:46.742737043,1513927306.742737,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341408828,0,1,0,0,,29056,1358,32,,,,,,2716
118,2017-12-22 15:21:46.742758316,1513927306.7427583,192.168.82.72,222.29.98.225,TCP,59027,40002,341408828,3156777493,0,1,0,0,,185344,0,32,,0.000041741,,,,
119,2017-12-22 15:21:46.742766318,1513927306.7427664,192.168.82.72,222.29.98.225,TCP,59027,40002,341410186,3156777493,0,1,0,0,,185344,0,32,,0.000029275,,,,
120,2017-12-22 15:21:46.755577681,1513927306.7555776,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341410186,0,1,0,0,,29056,1358,32,,,,,,1358
121,2017-12-22 15:21:46.755578365,1513927306.7555783,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341411544,0,1,0,0,,29056,1358,32,,,,,,2716
122,2017-12-22 15:21:46.755578693,1513927306.7555788,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341412902,0,1,0,0,,29056,1358,32,,,,,,4074
123,2017-12-22 15:21:46.755634418,1513927306.7556343,192.168.82.72,222.29.98.225,TCP,59027,40002,341411544,3156777493,0,1,0,0,,185344,0,32,,0.000056737,,,,
124,2017-12-22 15:21:46.755654200,1513927306.755654,192.168.82.72,222.29.98.225,TCP,59027,40002,341412902,3156777493,0,1,0,0,,185344,0,32,,0.000075835,,,,
125,2017-12-22 15:21:46.755662518,1513927306.7556624,192.168.82.72,222.29.98.225,TCP,59027,40002,341414260,3156777493,0,1,0,0,,185344,0,32,,0.000083825,,,,
126,2017-12-22 15:21:46.773364736,1513927306.7733648,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341414260,0,1,0,0,,29056,1358,32,,,,,,1358
127,2017-12-22 15:21:46.773365395,1513927306.7733655,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341415618,0,1,0,0,,29056,1358,32,,,,,,2716
128,2017-12-22 15:21:46.773365726,1513927306.7733657,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341416976,0,1,0,0,,29056,1358,32,,,,,,4074
129,2017-12-22 15:21:46.773366177,1513927306.7733662,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341418334,0,1,0,0,,29056,1358,32,,,,,,5432
